step,train_loss,train_acc,test_loss,test_acc,elapsed_sec,lr
0,5.192173,0.011905,5.176096,0.008714,0.0,0.000020
100,4.472924,0.036352,4.831675,0.005739,0.6,0.001000
200,3.140481,0.351616,5.063693,0.052922,1.3,0.001000
300,1.155286,0.826956,3.926792,0.324336,2.0,0.001000
400,0.231857,0.995111,3.066462,0.491180,2.7,0.001000
500,0.071281,1.000000,2.888144,0.500956,3.3,0.001000
600,0.038840,0.999787,2.743944,0.502444,3.9,0.001000
700,0.026672,1.000000,2.549312,0.510308,4.6,0.001000
800,0.006131,1.000000,2.327329,0.513284,5.1,0.001000
900,0.065551,0.997874,1.911376,0.546440,5.7,0.001000
1000,0.010352,1.000000,1.635263,0.573007,6.3,0.001000
1100,1.981595,0.520196,3.671488,0.250159,6.9,0.001000
1200,0.020922,1.000000,0.682410,0.818278,7.6,0.001000
1300,0.296231,0.984269,0.954402,0.784910,8.2,0.001000
1400,0.022436,1.000000,0.102204,0.996387,8.8,0.001000
1500,0.013535,1.000000,0.055195,0.997662,9.5,0.001000
1600,0.007327,1.000000,0.022819,0.999362,10.1,0.001000
1700,0.260633,0.987457,0.384212,0.968544,10.7,0.001000
1800,0.013203,1.000000,0.024031,0.999575,11.3,0.001000
1900,0.011625,1.000000,0.020010,1.000000,11.9,0.001000
2000,0.018626,1.000000,0.026460,1.000000,12.5,0.001000
2100,0.015282,1.000000,0.020700,1.000000,13.2,0.001000
2200,0.370371,0.964923,0.447288,0.943252,13.8,0.001000
2300,0.014268,1.000000,0.018107,0.999787,14.4,0.001000
2400,0.011559,1.000000,0.013868,1.000000,15.1,0.001000
2500,0.035991,1.000000,0.044563,1.000000,15.7,0.001000
2600,0.017296,1.000000,0.021079,1.000000,16.3,0.001000
2700,0.012685,1.000000,0.014874,1.000000,16.9,0.001000
2800,0.018068,1.000000,0.021657,1.000000,17.5,0.001000
2900,0.015375,1.000000,0.017673,1.000000,18.1,0.001000
3000,0.021869,1.000000,0.027050,1.000000,18.8,0.001000
3100,0.018493,1.000000,0.021235,1.000000,19.5,0.001000
3200,0.040288,1.000000,0.048918,0.999575,20.1,0.001000
3300,0.018907,1.000000,0.021637,1.000000,20.7,0.001000
3400,0.041081,1.000000,0.050193,0.999362,21.4,0.001000
3500,0.020818,1.000000,0.024061,1.000000,22.0,0.001000
3600,0.013085,1.000000,0.014621,1.000000,22.6,0.001000
3700,0.021008,1.000000,0.024941,1.000000,23.2,0.001000
3800,0.016956,1.000000,0.019410,1.000000,23.9,0.001000
3900,0.021331,1.000000,0.025578,1.000000,24.6,0.001000
4000,2.636412,0.358206,2.704552,0.337513,25.2,0.001000
4100,0.020235,1.000000,0.023713,1.000000,25.8,0.001000
4200,0.014745,1.000000,0.016606,1.000000,26.4,0.001000
4300,0.018717,1.000000,0.021939,1.000000,27.1,0.001000
4400,0.016478,1.000000,0.018596,1.000000,27.6,0.001000
4500,0.020341,1.000000,0.024178,1.000000,28.2,0.001000
4600,0.018793,1.000000,0.021601,1.000000,28.8,0.001000
4700,0.020571,1.000000,0.024209,1.000000,29.4,0.001000
4800,0.017747,1.000000,0.020074,1.000000,30.0,0.001000
4900,0.020556,1.000000,0.024474,1.000000,30.7,0.001000
5000,0.017671,1.000000,0.020241,1.000000,31.3,0.001000
5100,0.119139,0.998724,0.142504,0.997450,31.9,0.001000
5200,0.020824,1.000000,0.024391,1.000000,32.5,0.001000
5300,0.177449,0.996811,0.215634,0.992774,33.1,0.001000
5400,0.021375,1.000000,0.024174,1.000000,33.7,0.001000
5500,0.014547,1.000000,0.016191,1.000000,34.3,0.001000
5600,0.018761,1.000000,0.022112,1.000000,34.9,0.001000
5700,0.018559,1.000000,0.020839,1.000000,35.6,0.001000
5800,0.019806,1.000000,0.022619,1.000000,36.1,0.001000
5900,0.015752,1.000000,0.017504,1.000000,36.7,0.001000
6000,0.022930,1.000000,0.027395,1.000000,37.3,0.001000
6100,0.018474,1.000000,0.021151,1.000000,38.1,0.001000
6200,0.263152,0.988733,0.300767,0.982147,38.8,0.001000
6300,0.018184,1.000000,0.020846,1.000000,39.5,0.001000
6400,0.131209,0.997874,0.158168,0.995537,40.4,0.001000
6500,0.019249,1.000000,0.022157,1.000000,41.2,0.001000
6600,0.012934,1.000000,0.014632,1.000000,41.9,0.001000
6700,0.016934,1.000000,0.019920,1.000000,42.5,0.001000
6800,0.017669,1.000000,0.020024,1.000000,43.1,0.001000
6900,0.020745,1.000000,0.023966,1.000000,43.7,0.001000
7000,0.017779,1.000000,0.020044,1.000000,44.3,0.001000
7100,0.069843,1.000000,0.083808,0.999787,45.0,0.001000
7200,0.020031,1.000000,0.023212,1.000000,45.6,0.001000
7300,0.014122,1.000000,0.015874,1.000000,46.2,0.001000
7400,0.022330,1.000000,0.026076,1.000000,46.8,0.001000
7500,0.018901,1.000000,0.021230,1.000000,47.4,0.001000
7600,0.024085,1.000000,0.028920,1.000000,48.0,0.001000
7700,0.020824,1.000000,0.023847,1.000000,48.7,0.001000
7800,0.213715,0.990221,0.256752,0.982784,49.3,0.001000
7900,0.019428,1.000000,0.022265,1.000000,49.9,0.001000
8000,0.014970,1.000000,0.016876,1.000000,50.5,0.001000
8100,0.018685,1.000000,0.022199,1.000000,51.1,0.001000
8200,0.015984,1.000000,0.018431,1.000000,51.7,0.001000
8300,0.060722,0.999787,0.075418,0.999787,52.3,0.001000
8400,0.021053,1.000000,0.024188,1.000000,52.8,0.001000
8500,0.401193,0.958333,0.458102,0.944952,53.4,0.001000
8600,0.020865,1.000000,0.023797,1.000000,54.0,0.001000
8700,0.016154,1.000000,0.017949,1.000000,54.6,0.001000
8800,0.020668,1.000000,0.024159,1.000000,55.2,0.001000
8900,0.019386,1.000000,0.021661,1.000000,55.9,0.001000
9000,0.024638,1.000000,0.029477,0.999787,56.5,0.001000
9100,0.021822,1.000000,0.024590,1.000000,57.1,0.001000
9200,0.012902,1.000000,0.014413,1.000000,57.7,0.001000
9300,0.016949,1.000000,0.019410,1.000000,58.3,0.001000
9400,2.723108,0.305910,2.823208,0.278852,58.9,0.001000
9500,0.023521,1.000000,0.026806,1.000000,59.5,0.001000
9600,0.018478,1.000000,0.020135,1.000000,60.1,0.001000
9700,0.021378,1.000000,0.025515,1.000000,60.7,0.001000
9800,0.018907,1.000000,0.021240,1.000000,61.3,0.001000
9900,0.031324,1.000000,0.036569,1.000000,61.9,0.001000
10000,0.019895,1.000000,0.021797,1.000000,62.6,0.001000
10100,0.082150,0.999362,0.098627,0.998937,63.1,0.001000
10200,0.025129,1.000000,0.028386,1.000000,63.7,0.001000
10300,0.017457,1.000000,0.019336,1.000000,64.3,0.001000
10400,0.019880,1.000000,0.022970,1.000000,64.9,0.001000
10500,0.018471,1.000000,0.020431,1.000000,65.6,0.001000
10600,0.033588,1.000000,0.040199,0.999787,66.2,0.001000
10700,0.020933,1.000000,0.023525,1.000000,66.8,0.001000
10800,0.014299,1.000000,0.015820,1.000000,67.4,0.001000
10900,0.021174,1.000000,0.024445,1.000000,68.0,0.001000
11000,0.019200,1.000000,0.021473,1.000000,68.6,0.001000
11100,0.048294,1.000000,0.059200,1.000000,69.2,0.001000
11200,0.021363,1.000000,0.024197,1.000000,69.9,0.001000
11300,0.014847,1.000000,0.016461,1.000000,70.5,0.001000
11400,0.019431,1.000000,0.022264,1.000000,71.1,0.001000
11500,0.018610,1.000000,0.020700,1.000000,71.7,0.001000
11600,0.026060,1.000000,0.031456,1.000000,72.2,0.001000
11700,0.021530,1.000000,0.024312,1.000000,72.8,0.001000
11800,0.039950,1.000000,0.047489,1.000000,73.4,0.001000
11900,0.021030,1.000000,0.023676,1.000000,74.0,0.001000
12000,0.494231,0.958121,0.558072,0.941339,74.6,0.001000
12100,0.021651,1.000000,0.024308,1.000000,75.3,0.001000
12200,0.021997,1.000000,0.023996,1.000000,75.9,0.001000
12300,0.020009,1.000000,0.022510,1.000000,76.6,0.001000
12400,0.014779,1.000000,0.016278,1.000000,77.2,0.001000
12500,0.018800,1.000000,0.021448,1.000000,77.9,0.001000
12600,0.017383,1.000000,0.019114,1.000000,78.5,0.001000
12700,0.021205,1.000000,0.024685,1.000000,79.1,0.001000
12800,0.018497,1.000000,0.020476,1.000000,79.8,0.001000
12900,0.442591,0.959609,0.496705,0.942614,80.4,0.001000
13000,0.018681,1.000000,0.021203,1.000000,81.0,0.001000
13100,0.015666,1.000000,0.017338,1.000000,81.6,0.001000
13200,0.022206,1.000000,0.026317,1.000000,82.2,0.001000
13300,0.022128,1.000000,0.024625,1.000000,82.8,0.001000
13400,0.069217,1.000000,0.082937,0.999787,83.5,0.001000
13500,0.021062,1.000000,0.023682,1.000000,84.1,0.001000
13600,0.254469,0.992559,0.295713,0.985760,84.7,0.001000
13700,0.021470,1.000000,0.024297,1.000000,85.4,0.001000
13800,0.015337,1.000000,0.017138,1.000000,86.1,0.001000
13900,0.020126,1.000000,0.023111,1.000000,86.7,0.001000
14000,0.018898,1.000000,0.020965,1.000000,87.3,0.001000
14100,0.031905,1.000000,0.037849,1.000000,87.9,0.001000
14200,0.019551,1.000000,0.022072,1.000000,88.5,0.001000
14300,0.052123,1.000000,0.062236,0.999787,89.2,0.001000
14400,0.022618,1.000000,0.025223,1.000000,89.8,0.001000
14500,0.015092,1.000000,0.016499,1.000000,90.5,0.001000
14600,0.016899,1.000000,0.019197,1.000000,91.2,0.001000
14700,0.017531,1.000000,0.019146,1.000000,91.8,0.001000
